Employment Supports Performance Outcome System Provider Report for all -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"MAB Community Services, Inc.","32","0","","","",""
"Meridian of Servicenet","86","0","","","",""
"Microtek","15","0","","","",""
"Minute Man Arc","73","1","2.00","60.00","","60.00"
"Morgan Memorial Goodwill","137","0","","","",""
"Nemasket Group","37","1","12.00","","16.70",""
"New England Business Associates","81","1","300.00","4629.00","4597.65","31.35"
"New England Center for Children, Inc.","7","0","","","",""
"New England Village","36","0","","","",""
"Northeast ARC/ Heritage Industries","113","0","","","",""
"Nupath","53","0","","","",""
"People Inc.","111","0","","","",""
"Plus Company","69","0","","","",""
"PRIDE Inc.","71","0","","","",""
"Regional Employment Services","109","0","","","",""
"Rehabilitative Resources","4","1","76.00","5416.69","2631.46","2785.23"
"Riverside Industries","156","0","","","",""
"Road To Responsibility","209","0","","","",""
"Seven Hills Family Services","210","0","","","",""
"South Shore ARC","14","0","","","",""
"Southeastern Massachusetts Educational Collaborative","102","0","","","",""
"SUNSHINE VILLAGE","160","0","","","",""
"The Arc of East Middlesex","75","0","","","",""
"The ARC of Greater Plymouth","68","0","","","",""
"The Arc of Opportunity","46","0","","","",""
"The Charles River Center/ Charles River ARC","171","0","","","",""
"TILL","11","0","","","",""
"Triangle Inc.","172","0","","","",""
"Valley Collaborative","84","0","","","",""
"Valley Educational  Associates","81","0","","","",""
"Viability","348","0","","","",""
"Vinfen Employment Training Center","22","0","","","",""
"Vinfen Gateway Arts","65","0","","","",""
"Vocational Advancement","8","0","","","",""
"Walnut Street Center","41","0","","","",""
"Waltham Committee Inc.","12","0","","","",""
"Work Inc.","253","0","","","",""
"Work Opportunities Unlimited","299","2","5.50","276.00","31.63","260.18"
"Work Opportunity Center, Inc.","92","0","","","",""
"State","6459","12","40.50","1337.45","1114.16","473.52"
